"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","Mexico","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","Nicaragua","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","Nicaragua","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","Mexico","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","Honduras","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","Guatemala","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","El Salvador","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.601 - Mesoamerican Pine-Oak Forest","Belize","T1.3","EN",NA,"A2b",79117.6734,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.602 - Southern Mesoamerican Montane Humid Forest","Colombia","T1.3","VU",NA,"D1, D3",15936.9687,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.602 - Southern Mesoamerican Montane Humid Forest","Panama","T1.3","VU",NA,"D1, D3",15936.9687,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.602 - Southern Mesoamerican Montane Humid Forest","Nicaragua","T1.3","VU",NA,"D1, D3",15936.9687,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.602 - Southern Mesoamerican Montane Humid Forest","Costa Rica","T1.3","VU",NA,"D1, D3",15936.9687,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.603 - Central Guianan Montane Humid Forest","Suriname","T1.3","EN","VU -- EN","C2a",143636.0526,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.603 - Central Guianan Montane Humid Forest","Guyana","T1.3","EN","VU -- EN","C2a",143636.0526,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.603 - Central Guianan Montane Humid Forest","French Guiana","T1.3","EN","VU -- EN","C2a",143636.0526,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.603 - Central Guianan Montane Humid Forest","Brazil","T1.3","EN","VU -- EN","C2a",143636.0526,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.603 - Central Guianan Montane Humid Forest","Venezuela","T1.3","EN","VU -- EN","C2a",143636.0526,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.604 - Eastern Guianan Montane Humid Forest","Suriname","T1.3","LC",NA,NA,39076.6275,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.604 - Eastern Guianan Montane Humid Forest","Guyana","T1.3","LC",NA,NA,39076.6275,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.604 - Eastern Guianan Montane Humid Forest","French Guiana","T1.3","LC",NA,NA,39076.6275,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.604 - Eastern Guianan Montane Humid Forest","Brazil","T1.3","LC",NA,NA,39076.6275,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eh.604 - Eastern Guianan Montane Humid Forest","Venezuela","T1.3","LC",NA,NA,39076.6275,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.606 - Northern Andean Montane & Upper Montane Humid Forest","Peru","T1.3","CR","EN -- CR","A3",88950.8223,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.606 - Northern Andean Montane & Upper Montane Humid Forest","Ecuador","T1.3","CR","EN -- CR","A3",88950.8223,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
